"السنة","النفط","فئة السعر","دولار أمريكي للبرميل"
1970,"النفط العربي الخفيف","سعر النفط الحقيقي",9.07
1971,"النفط العربي الخفيف","سعر النفط الحقيقي",10.62
1972,"النفط العربي الخفيف","سعر النفط الحقيقي",10.66
1973,"النفط العربي الخفيف","سعر النفط الحقيقي",12.62
1974,"النفط العربي الخفيف","سعر النفط الحقيقي",41.19
1975,"النفط العربي الخفيف","سعر النفط الحقيقي",39.86
1976,"النفط العربي الخفيف","سعر النفط الحقيقي",41.61
1977,"النفط العربي الخفيف","سعر النفط الحقيقي",40.13
1978,"النفط العربي الخفيف","سعر النفط الحقيقي",34.34
1979,"النفط العربي الخفيف","سعر النفط الحقيقي",41.87
1980,"النفط العربي الخفيف","سعر النفط الحقيقي",62.85
1981,"النفط العربي الخفيف","سعر النفط الحقيقي",77.8
1982,"النفط العربي الخفيف","سعر النفط الحقيقي",74.58
1983,"النفط العربي الخفيف","سعر النفط الحقيقي",68.43
1984,"النفط العربي الخفيف","سعر النفط الحقيقي",69.36
1985,"النفط العربي الخفيف","سعر النفط الحقيقي",67.16
1986,"النفط العربي الخفيف","سعر النفط الحقيقي",26.21
1987,"النفط العربي الخفيف","سعر النفط الحقيقي",28.38
1988,"النفط العربي الخفيف","سعر النفط الحقيقي",20.45
1989,"النفط العربي الخفيف","سعر النفط الحقيقي",25.2
1990,"النفط العربي الخفيف","سعر النفط الحقيقي",28.4
1991,"النفط العربي الخفيف","سعر النفط الحقيقي",23.5
1992,"النفط العربي الخفيف","سعر النفط الحقيقي",22.64
1993,"النفط العربي الخفيف","سعر النفط الحقيقي",20.52
1994,"النفط العربي الخفيف","سعر النفط الحقيقي",19.31
1995,"النفط العربي الخفيف","سعر النفط الحقيقي",19.24
1996,"النفط العربي الخفيف","سعر النفط الحقيقي",23.07
1997,"النفط العربي الخفيف","سعر النفط الحقيقي",23.04
1998,"النفط العربي الخفيف","سعر النفط الحقيقي",15.08
1999,"النفط العربي الخفيف","سعر النفط الحقيقي",21.6
2000,"النفط العربي الخفيف","سعر النفط الحقيقي",35.64
2001,"النفط العربي الخفيف","سعر النفط الحقيقي",31.14
2002,"النفط العربي الخفيف","سعر النفط الحقيقي",31.27
2003,"النفط العربي الخفيف","سعر النفط الحقيقي",30.92
2004,"النفط العربي الخفيف","سعر النفط الحقيقي",35.14
2005,"النفط العربي الخفيف","سعر النفط الحقيقي",50.21
2006,"النفط العربي الخفيف","سعر النفط الحقيقي",59.94
2007,"النفط العربي الخفيف","سعر النفط الحقيقي",62.59
2008,"النفط العربي الخفيف","سعر النفط الحقيقي",80.38
2009,"النفط العربي الخفيف","سعر النفط الحقيقي",53.89
2010,"النفط العربي الخفيف","سعر النفط الحقيقي",61.87
2011,"النفط العربي الخفيف","سعر النفط الحقيقي",79.89
2012,"النفط العربي الخفيف","سعر النفط الحقيقي",81.83
2013,"النفط العربي الخفيف","سعر النفط الحقيقي",77.29
2014,"النفط العربي الخفيف","سعر النفط الحقيقي",69.68
2015,"النفط العربي الخفيف","سعر النفط الحقيقي",38.49
2016,"النفط العربي الخفيف","سعر النفط الحقيقي",31.91
2017,"النفط العربي الخفيف","سعر النفط الحقيقي",40.69
2018,"النفط العربي الخفيف","سعر النفط الحقيقي",54.13
2019,"النفط العربي الخفيف","سعر النفط الحقيقي",50.85
2020,"النفط العربي الخفيف","سعر النفط الحقيقي",33.4
2021,"النفط العربي الخفيف","سعر النفط الحقيقي",55.56
2022,"النفط العربي الخفيف","سعر النفط الحقيقي",89.74
1970,"بحر الشمال (برنت)","سعر النفط الحقيقي",15.55
1971,"بحر الشمال (برنت)","سعر النفط الحقيقي",20.66
1972,"بحر الشمال (برنت)","سعر النفط الحقيقي",20.26
1973,"بحر الشمال (برنت)","سعر النفط الحقيقي",19.86
1974,"بحر الشمال (برنت)","سعر النفط الحقيقي",54.56
1975,"بحر الشمال (برنت)","سعر النفط الحقيقي",42.76
1976,"بحر الشمال (برنت)","سعر النفط الحقيقي",47.5
1977,"بحر الشمال (برنت)","سعر النفط الحقيقي",46.31
1978,"بحر الشمال (برنت)","سعر النفط الحقيقي",38.56
1979,"بحر الشمال (برنت)","سعر النفط الحقيقي",77.9
1980,"بحر الشمال (برنت)","سعر النفط الحقيقي",83.07
1981,"بحر الشمال (برنت)","سعر النفط الحقيقي",83.37
1982,"بحر الشمال (برنت)","سعر النفط الحقيقي",78.52
1983,"بحر الشمال (برنت)","سعر النفط الحقيقي",70.95
1984,"بحر الشمال (برنت)","سعر النفط الحقيقي",71.19
1985,"بحر الشمال (برنت)","سعر النفط الحقيقي",66.65
1986,"بحر الشمال (برنت)","سعر النفط الحقيقي",27.68
1987,"بحر الشمال (برنت)","سعر النفط الحقيقي",30.21
1988,"بحر الشمال (برنت)","سعر النفط الحقيقي",22.85
1989,"بحر الشمال (برنت)","سعر النفط الحقيقي",28.33
1990,"بحر الشمال (برنت)","سعر النفط الحقيقي",32.73
1991,"بحر الشمال (برنت)","سعر النفط الحقيقي",26.95
1992,"بحر الشمال (برنت)","سعر النفط الحقيقي",24.4
1993,"بحر الشمال (برنت)","سعر النفط الحقيقي",22.24
1994,"بحر الشمال (برنت)","سعر النفط الحقيقي",19.82
1995,"بحر الشمال (برنت)","سعر النفط الحقيقي",19.56
1996,"بحر الشمال (برنت)","سعر النفط الحقيقي",23.99
1997,"بحر الشمال (برنت)","سعر النفط الحقيقي",23.47
1998,"بحر الشمال (برنت)","سعر النفط الحقيقي",15.71
1999,"بحر الشمال (برنت)","سعر النفط الحقيقي",22.17
2000,"بحر الشمال (برنت)","سعر النفط الحقيقي",37.81
2001,"بحر الشمال (برنت)","سعر النفط الحقيقي",33.04
2002,"بحر الشمال (برنت)","سعر النفط الحقيقي",32.18
2003,"بحر الشمال (برنت)","سعر النفط الحقيقي",32.17
2004,"بحر الشمال (برنت)","سعر النفط الحقيقي",38.91
2005,"بحر الشمال (برنت)","سعر النفط الحقيقي",54.37
2006,"بحر الشمال (برنت)","سعر النفط الحقيقي",63.9
2007,"بحر الشمال (برنت)","سعر النفط الحقيقي",66.05
2008,"بحر الشمال (برنت)","سعر النفط الحقيقي",82.25
2009,"بحر الشمال (برنت)","سعر النفط الحقيقي",54.16
2010,"بحر الشمال (برنت)","سعر النفط الحقيقي",63.29
2011,"بحر الشمال (برنت)","سعر النفط الحقيقي",82.51
2012,"بحر الشمال (برنت)","سعر النفط الحقيقي",82.87
2013,"بحر الشمال (برنت)","سعر النفط الحقيقي",78.81
2014,"بحر الشمال (برنت)","سعر النفط الحقيقي",71.05
2015,"بحر الشمال (برنت)","سعر النفط الحقيقي",40.47
2016,"بحر الشمال (برنت)","سعر النفط الحقيقي",34.09
2017,"بحر الشمال (برنت)","سعر النفط الحقيقي",41.91
2018,"بحر الشمال (برنت)","سعر النفط الحقيقي",54.61
2019,"بحر الشمال (برنت)","سعر النفط الحقيقي",50.24
2020,"بحر الشمال (برنت)","سعر النفط الحقيقي",33.21
2021,"بحر الشمال (برنت)","سعر النفط الحقيقي",55.68
2022,"بحر الشمال (برنت)","سعر النفط الحقيقي",89.26
1970,"سلة أوبك","سعر النفط الحقيقي",11.67
1971,"سلة أوبك","سعر النفط الحقيقي",13.07
1972,"سلة أوبك","سعر النفط الحقيقي",12.88
1973,"سلة أوبك","سعر النفط الحقيقي",14.26
1974,"سلة أوبك","سعر النفط الحقيقي",45.26
1975,"سلة أوبك","سعر النفط الحقيقي",39.9
1976,"سلة أوبك","سعر النفط الحقيقي",41.61
1977,"سلة أوبك","سعر النفط الحقيقي",40.11
1978,"سلة أوبك","سعر النفط الحقيقي",34.35
1979,"سلة أوبك","سعر النفط الحقيقي",41.84
1980,"سلة أوبك","سعر النفط الحقيقي",62.79
1981,"سلة أوبك","سعر النفط الحقيقي",73.9
1982,"سلة أوبك","سعر النفط الحقيقي",76.09
1983,"سلة أوبك","سعر النفط الحقيقي",69.06
1984,"سلة أوبك","سعر النفط الحقيقي",69.72
1985,"سلة أوبك","سعر النفط الحقيقي",65.86
1986,"سلة أوبك","سعر النفط الحقيقي",25.83
1987,"سلة أوبك","سعر النفط الحقيقي",29.2
1988,"سلة أوبك","سعر النفط الحقيقي",21.74
1989,"سلة أوبك","سعر النفط الحقيقي",26.91
1990,"سلة أوبك","سعر النفط الحقيقي",30.36
1991,"سلة أوبك","سعر النفط الحقيقي",25.1
1992,"سلة أوبك","سعر النفط الحقيقي",23.27
1993,"سلة أوبك","سعر النفط الحقيقي",21.36
1994,"سلة أوبك","سعر النفط الحقيقي",19.48
1995,"سلة أوبك","سعر النفط الحقيقي",19.39
1996,"سلة أوبك","سعر النفط الحقيقي",23.52
1997,"سلة أوبك","سعر النفط الحقيقي",22.99
1998,"سلة أوبك","سعر النفط الحقيقي",15.18
1999,"سلة أوبك","سعر النفط الحقيقي",21.63
2000,"سلة أوبك","سعر النفط الحقيقي",36.69
2001,"سلة أوبك","سعر النفط الحقيقي",31.23
2002,"سلة أوبك","سعر النفط الحقيقي",31.32
2003,"سلة أوبك","سعر النفط الحقيقي",31.37
2004,"سلة أوبك","سعر النفط الحقيقي",36.68
2005,"سلة أوبك","سعر النفط الحقيقي",50.64
2006,"سلة أوبك","سعر النفط الحقيقي",59.92
2007,"سلة أوبك","سعر النفط الحقيقي",62.89
2008,"سلة أوبك","سعر النفط الحقيقي",79.78
2009,"سلة أوبك","سعر النفط الحقيقي",53.61
2010,"سلة أوبك","سعر النفط الحقيقي",61.58
2011,"سلة أوبك","سعر النفط الحقيقي",79.62
2012,"سلة أوبك","سعر النفط الحقيقي",81.26
2013,"سلة أوبك","سعر النفط الحقيقي",76.81
2014,"سلة أوبك","سعر النفط الحقيقي",69.05
2015,"سلة أوبك","سعر النفط الحقيقي",38.21
